Dataset,Metric,WaveformNet,FNO,X-Net (Adam),Invertible X-Net,Invertible X-Net (Cycle),Invertible X-Net (Forward Only),Latent U-Net (Small),Latent U-Net (Large),Auto-Linear
FVA,MSE,0.1687839478254318,0.0004377324949018657,0.02475249581038952,0.006234813947230577,0.00975025910884142,0.009372522123157978,0.1019959449768066,0.01738571189343929,0.008443483151495457
FVB,MSE,0.1463222950696945,0.00665343226864934,0.01864195801317692,0.01768419146537781,0.009382154792547226,0.01321109849959612,0.1019181609153748,0.01271059550344944,0.04276592656970024
CVA,MSE,0.1970826834440231,0.02593992277979851,0.03959995880723,0.01751590147614479,0.01120247598737478,0.01598874665796757,0.02786138653755188,0.01608500257134438,0.03033627383410931
CVB,MSE,0.2121101468801498,0.08259325474500656,0.06073280051350594,0.03051912784576416,0.02866234444081783,0.0321994423866272,0.07812497764825821,0.04897469654679298,0.1045772507786751
FFA,MSE,0.1658399105072021,0.005955131724476814,0.08680321276187897,0.01852367632091045,0.02546055614948273,0.03552185744047165,0.01943077333271503,0.03441980108618736,0.02176476828753948
FFB,MSE,0.2020589262247086,0.0358128696680069,0.01671442203223705,0.01175034139305353,0.01130857225507498,0.01371792051941156,0.0321715883910656,0.01752694696187973,0.06250011920928955
CFA,MSE,0.1802146583795547,0.02510899677872658,0.08305950462818146,0.01269951462745667,0.01300350204110146,0.0349874421954155,0.04138606786727905,0.04427946358919144,0.03328825533390045
CFB,MSE,0.2140317410230637,0.04713930934667587,0.02503932639956474,0.01638315431773663,0.01486546080559492,0.02142063528299332,0.05027785152196884,0.02970338426530361,0.08667882531881332
STA,MSE,0.1942079365253448,0.004011690150946379,0.002276181010529399,0.0041773971170187,0.00366010470315814,0.01151584181934595,0.009032568894326687,0.005334710236638784,0.0173798780888319
STB,MSE,0.1867126673460007,0.00535152293741703,0.001680788467638195,0.008723263628780842,0.00492630060762167,0.00553131103515625,0.00955512560904026,0.00823511928319931,0.01730161160230637
