Dataset,Metric,WaveformNet,FNO,X-Net (Adam),Invertible X-Net,Invertible X-Net (Cycle),Invertible X-Net (Forward Only),Latent U-Net (Small),Latent U-Net (Large),Auto-Linear
FVA,SSIM,0.9527334824204445,0.9967196722825368,0.9821474229296049,0.9887992655237515,0.98422365685304,0.9858636677265167,0.9436180139581363,0.9764164760708809,0.8274084076285362
FVB,SSIM,0.9436360950271289,0.978124524652958,0.9788391724228859,0.978298832476139,0.9838660269975662,0.9785943935314815,0.9525779808561007,0.9779422541459402,0.6081029127041498
CVA,SSIM,0.8439289088050524,0.8881638303399086,0.9373672554890314,0.9559379587570827,0.9630537783106168,0.9524729326367378,0.9051529342929522,0.9237818176547686,0.5971398825446764
CVB,SSIM,0.8127450868487358,0.8354127069314321,0.8912057861685753,0.9221179395914078,0.9230037490526836,0.9158088818192482,0.8621987015008926,0.8900811061263084,0.4262802441914876
FFA,SSIM,0.9301636179288229,0.9667461688319842,0.9525155827403069,0.9744163115819295,0.9721228231986364,0.9646964803338051,0.9746502305070559,0.9659274811546008,0.7661157836516698
FFB,SSIM,0.8300427402059237,0.8702052632967631,0.9392097582419713,0.9540922299027443,0.9540370807051659,0.9438491622606914,0.888139845430851,0.9283243313431739,0.580849685271581
CFA,SSIM,0.8923152556022008,0.9166280701756477,0.947520749270916,0.9757282723983128,0.9746529440085093,0.9521684790651004,0.9534761185447375,0.9571003600955009,0.689863973359267
CFB,SSIM,0.7707245613137881,0.816061814626058,0.8888582075635593,0.9156923502683639,0.9177668074766795,0.8972821816802025,0.8191441689928373,0.8636320248246193,0.4667316717406114
STA,SSIM,0.9246102652379444,0.9655960172414779,0.9915569884436471,0.9890350018228803,0.9900091362851007,0.9822192081383296,0.9767102637461254,0.9819800325802395,0.6922059067658015
STB,SSIM,0.895937071953501,0.9417602577379771,0.9875069179705211,0.980547251020159,0.9803971235241209,0.9777282804250718,0.9408721459763391,0.9702598597322192,0.6631204294306892
