Dataset,Metric,InversionNet (L1+L2+VGG),InversionNet,VelocityGAN,Invertible XNet (Adam),Invertible X-Net,Invertible X-Net (Cycle),IUnetInverseModel,Latent U-Net (Small),Latent U-Net (Large),Auto-Linear
FVA,MAE,9.768026351928711,19.67358016967773,17.75835990905762,8.661222457885742,23.80150413513184,16.94857978820801,22.38108825683594,22.02732276916504,9.012796401977539,12.16127490997314
FVB,MAE,33.76211547851562,52.77278518676758,49.38391876220703,33.16107177734375,34.94543075561523,42.97068405151367,46.4141845703125,27.95187187194824,28.11708641052246,70.052978515625
CVA,MAE,75.71847534179688,102.7773895263672,72.400390625,62.14884948730469,57.86618423461914,63.04364776611328,62.92472457885742,53.1943359375,48.05752182006836,110.7259521484375
CVB,MAE,182.8114776611328,224.5747985839844,190.1788024902344,156.6903076171875,139.8181457519531,147.1243133544922,135.347412109375,154.0911254882812,123.560905456543,273.0228576660156
FFA,MAE,69.7447509765625,25.80879211425781,130.1815490722656,31.04075622558594,59.45129776000977,27.48495674133301,114.9000778198242,15.53433513641357,30.91294288635254,24.55541801452637
FFB,MAE,142.6613922119141,158.3106384277344,138.8919525146484,130.8882446289062,94.11952209472656,95.2388687133789,95.20118713378906,120.0786895751953,92.91680145263672,181.3993377685547
CFA,MAE,49.2651481628418,38.9035758972168,38.80263900756836,48.60467529296875,198.5672302246094,85.68212127685547,153.5139465332031,28.00153732299805,27.05062675476074,41.38826370239258
CFB,MAE,228.1765441894531,246.9439849853516,235.6988067626953,223.8640289306641,181.0329895019531,177.1875762939453,176.8445587158203,223.7555236816406,185.2279510498047,268.4711608886719
STA,MAE,103.3619079589844,93.96357727050781,91.76753997802734,84.35082244873047,67.09445190429688,81.70819091796875,74.06964874267578,97.97750091552734,67.0007553100586,107.8526763916016
STB,MAE,106.3109817504883,103.3774566650391,104.516471862793,84.80886840820312,121.428352355957,129.1664886474609,331.040771484375,83.61564636230469,71.41011047363281,95.6335220336914
