Dataset,Metric,InversionNet (L1+L2+VGG),InversionNet,VelocityGAN,Invertible XNet (Adam),Invertible X-Net,Invertible X-Net (Cycle),IUnetInverseModel,Latent U-Net (Small),Latent U-Net (Large),Auto-Linear
FVA,MSE,241.0546264648438,1002.7421875,712.5460815429688,215.5323486328125,1245.521240234375,750.010498046875,1087.780517578125,691.5579223632812,216.9267730712891,1053.03955078125
FVB,MSE,9181.5029296875,17271.62109375,14637.3662109375,9991.318359375,6969.427734375,9111.1494140625,8588.0439453125,7833.84814453125,6464.06591796875,33907.57421875
CVA,MSE,23526.8359375,36438.3359375,24075.728515625,18964.900390625,14659.46484375,14617.9140625,14271.24609375,16095.1142578125,12609.6591796875,42391.39453125
CVB,MSE,137986.28125,188044.46875,154232.4375,120349.8828125,96121.90625,103407.6953125,91166.1015625,122480.890625,91784.5078125,236457.484375
FFA,MSE,11424.8173828125,4081.1044921875,49591.02734375,2569.112548828125,7719.55810546875,2328.802978515625,26512.3125,1250.109619140625,2348.221435546875,5952.259765625
FFB,MSE,57617.6640625,68214.9296875,57628.43359375,54336.2109375,32559.95703125,32930.546875,32334.376953125,47349.66796875,33935.12109375,81789.8046875
CFA,MSE,7843.54736328125,9490.73828125,8286.8125,7741.50732421875,77105.4140625,15361.501953125,52850.65625,4631.1767578125,3771.388916015625,13715.4208984375
CFB,MSE,121532.171875,136327.84375,132490.953125,122721.8984375,86512.3671875,84514.203125,82653.7109375,122783.28125,93249.9296875,154713.125
STA,MSE,24015.68359375,23626.76171875,22512.0859375,20953.8046875,13106.9677734375,17313.26953125,15347.685546875,26898.857421875,14353.5537109375,31274.60546875
STB,MSE,24418.00390625,58622.35546875,27613.849609375,19156.9453125,31550.228515625,32563.654296875,178962.828125,19088.0546875,14564.9453125,21819.140625
